epoch,localtime,phase,window,vpdd,charge_now_uah,capacity_hires,suspend_ok,suspend_fail
1786438980,12:03:00,A-w3v50-fast,3,50,1162000,47.875,693,2
1786438982,12:03:02,A-w3v50-fast,3,50,1163000,47.898,693,2
1786439042,12:04:02,A-w3v50-fast,3,50,1184000,48.777,693,2
1786439106,12:05:06,A-w3v50-fast,3,50,1208500,49.765,693,2
1786439162,12:06:02,A-w3v50-fast,3,50,1229500,50.632,693,2
1786439220,12:07:00,A-w3v50-fast,3,50,1234000,50.828,693,2
1786439286,12:08:06,A-w3v50-fast,3,50,1228500,50.609,693,2
1786439347,12:09:07,A-w3v50-fast,3,50,1227500,50.546,694,2
1786439409,12:10:09,A-w3v50-fast,3,50,1224500,50.437,696,2
1786439466,12:11:06,A-w3v50-fast,3,50,1220000,50.242,697,2
1786439526,12:12:06,A-w3v50-fast,3,50,1223500,50.390,697,2
1786439586,12:13:06,A-w3v50-fast,3,50,1246500,51.339,697,2
1786439646,12:14:06,A-w3v50-fast,3,50,1269500,52.281,697,2
1786439706,12:15:06,A-w3v50-fast,3,50,1292000,53.222,697,2
1786439766,12:16:06,A-w3v50-fast,3,50,1314000,54.125,697,2
1786439823,12:17:03,A-w3v50-fast,3,50,1335500,55.003,697,2
1786439886,12:18:06,A-w3v50-fast,3,50,1348500,55.539,697,2
1786439946,12:19:06,A-w3v50-fast,3,50,1344500,55.382,697,2
1786440007,12:20:07,A-w3v50-fast,3,50,1343000,55.320,698,2
1786440068,12:21:08,A-w3v50-fast,3,50,1342500,55.285,699,2
1786440128,12:22:08,A-w3v50-fast,3,50,1341500,55.257,700,2
1786440188,12:23:08,A-w3v50-fast,3,50,1341000,55.222,701,2
1786440248,12:24:08,A-w3v50-fast,3,50,1340000,55.199,702,2
1786440308,12:25:08,A-w3v50-fast,3,50,1339500,55.160,703,2
1786440368,12:26:08,A-w3v50-fast,3,50,1338500,55.136,704,2
1786440428,12:27:08,A-w3v50-fast,3,50,1338000,55.101,705,2
1786440488,12:28:08,A-w3v50-fast,3,50,1337000,55.078,706,2
1786440548,12:29:08,A-w3v50-fast,3,50,1336500,55.050,707,2
1786440608,12:30:08,A-w3v50-fast,3,50,1336000,55.027,708,2
1786440668,12:31:08,A-w3v50-fast,3,50,1335500,54.992,709,2
1786440728,12:32:08,A-w3v50-fast,3,50,1334500,54.964,710,2
1786440788,12:33:08,A-w3v50-fast,3,50,1334000,54.941,711,2
1786440848,12:34:08,A-w3v50-fast,3,50,1333000,54.917,712,2
1786440908,12:35:08,A-w3v50-fast,3,50,1332500,54.894,713,2
1786440968,12:36:08,A-w3v50-fast,3,50,1332000,54.855,714,2
1786441028,12:37:08,A-w3v50-fast,3,50,1331500,54.832,715,2
1786441088,12:38:08,A-w3v50-fast,3,50,1330500,54.808,716,2
1786441148,12:39:08,A-w3v50-fast,3,50,1330000,54.785,717,2
1786441208,12:40:08,A-w3v50-fast,3,50,1329500,54.746,718,2
1786441268,12:41:08,A-w3v50-fast,3,50,1328500,54.722,719,2
1786441328,12:42:08,A-w3v50-fast,3,50,1328000,54.699,720,2
1786441388,12:43:08,A-w3v50-fast,3,50,1327500,54.660,721,2
1786441448,12:44:08,A-w3v50-fast,3,50,1326500,54.636,722,2
1786441508,12:45:08,A-w3v50-fast,3,50,1326000,54.613,723,2
1786441568,12:46:08,A-w3v50-fast,3,50,1325500,54.589,724,2
1786441628,12:47:08,A-w3v50-fast,3,50,1324500,54.562,725,2
1786441688,12:48:08,A-w3v50-fast,3,50,1324000,54.527,726,2
1786441748,12:49:08,A-w3v50-fast,3,50,1323500,54.503,727,2
1786441808,12:50:08,A-w3v50-fast,3,50,1322500,54.476,728,2
1786441868,12:51:08,A-w3v50-fast,3,50,1322000,54.453,729,2
1786441928,12:52:08,A-w3v50-fast,3,50,1321500,54.417,730,2
1786441988,12:53:08,A-w3v50-fast,3,50,1320500,54.394,731,2
1786442048,12:54:08,A-w3v50-fast,3,50,1320000,54.367,732,2
1786442108,12:55:08,A-w3v50-fast,3,50,1319500,54.343,733,2
1786442168,12:56:08,A-w3v50-fast,3,50,1318500,54.308,734,2
1786442228,12:57:08,A-w3v50-fast,3,50,1318000,54.281,735,2
1786442288,12:58:08,A-w3v50-fast,3,50,1317500,54.257,736,2
1786442348,12:59:08,A-w3v50-fast,3,50,1316500,54.234,737,2
1786442408,13:00:08,B-w3v50-prod,3,50,1316000,54.210,738,2
1786442708,13:05:08,B-w3v50-prod,3,50,1315000,54.171,739,2
1786443008,13:10:08,B-w3v50-prod,3,50,1314500,54.136,740,2
1786443308,13:15:08,B-w3v50-prod,3,50,1313500,54.101,741,2
1786443608,13:20:08,B-w3v50-prod,3,50,1312500,54.062,742,2
1786443908,13:25:08,B-w3v50-prod,3,50,1312000,54.027,743,2
1786444208,13:30:08,B-w3v50-prod,3,50,1311000,54.003,744,2
1786444508,13:35:08,B-w3v50-prod,3,50,1310000,53.964,745,2
1786444808,13:40:08,B-w3v50-prod,3,50,1309500,53.929,746,2
1786445108,13:45:08,B-w3v50-prod,3,50,1308500,53.890,747,2
1786445408,13:50:08,B-w3v50-prod,3,50,1308000,53.867,748,2
1786445708,13:55:08,B-w3v50-prod,3,50,1307000,53.832,749,2
1786446008,14:00:08,B-w3v50-prod,3,50,1306000,53.792,750,2
1786446308,14:05:08,B-w3v50-prod,3,50,1305500,53.769,751,2
1786446608,14:10:08,B-w3v50-prod,3,50,1304500,53.734,752,2
1786446908,14:15:08,B-w3v50-prod,3,50,1304000,53.695,753,2
1786447208,14:20:08,B-w3v50-prod,3,50,1303000,53.671,754,2
1786447508,14:25:08,B-w3v50-prod,3,50,1302000,53.636,755,2
